stop,name_en,name_tc,name_sc,lat,long
785985F99EE00AE4,CHUK YUEN ESTATE BUS TERMINUS,竹園邨巴士總站,竹园邨巴士总站,22.345524,114.192199
2C1366DA10099003,RAINBOW PRIMARY SCHOOL,天虹小學,天虹小学,22.345145,114.189677
74C71F2AE4947E5D,WANG YIP HOUSE,宏業樓,宏业楼,22.340529,114.188797
968575D69434DBB8,WANG FU HOUSE,宏富樓,宏富楼,22.340583,114.186556
210CF8389F782535,H.K. BAPTIST UNIVERSITY,香港浸會大學,香港浸会大学,22.339108,114.182487
6652A2FE695AD8C2,KENT ROAD,根德道,根德道,22.339922,114.176677
9B3566445BDAD548,SHEK KIP MEI PARK,石硤尾公園,石硖尾公园,22.339246,114.171103
A8E94E7F793372BD,CHAK YAN CENTRE,則仁中心,则仁中心,22.339781,114.167522
E275C17540BCEF37,SHEK KIP MEI FIRE STATION,石硤尾消防局,石硖尾消防局,22.338696,114.167401
6D1087ACF14C15A9,SHUI TIN HOUSE PAK TIN ESTATE,白田邨瑞田樓,白田邨瑞田楼,22.335930,114.169080
46ABE64DB9C82DDF,WONG TAI SHAN MEMORIAL COLLEGE,黃棣珊紀念中學,黄棣珊纪念中学,22.334730,114.168440
9F914539576C53A5,SHEK KIP MEI SHOPPING CENTRE,石硤尾商場,石硖尾商场,22.332023,114.166014
9215DDE04780BDC3,SHAM SHUI PO POST OFFICE,深水埗郵政局,深水埗邮政局,22.331958,114.163579
064E5D9FE6973F23,CAMP STREET,營盤街,营盘街,22.334154,114.160755
E766002A5624AFB6,WING LUNG STREET,永隆街,永隆街,22.336401,114.157818
7430D83B73E26B7C,UN CHAU SHOPPING CENTRE,元州商場,元州商场,22.337732,114.156102
0CE37125BC509E5D,CHEUNG SHA WAN PATH (X31),長沙灣徑 (X31),长沙湾径 (X31),22.338203,114.151281
B6ECF261EB79418C,CHEUNG LAI STREET CHEUNG SHA WAN (X46),長沙灣長荔街 (X46),长沙湾长荔街 (X46),22.336684,114.146749
2C1F7467E446B212,CHEUNG SHA WAN BUS TERMINUS,長沙灣巴士總站,长沙湾巴士总站,22.337071,114.148586
80F5C6317F17C099,KWONG CHEUNG STREET,光昌街,光昌街,22.339322,114.150789
C9261749DE3F7FEF,CHEUNG WAH STREET,昌華街,昌华街,22.339902,114.154486
5B5ABCFBD1F60FEC,WING LUNG STREET,永隆街,永隆街,22.337757,114.157378
0FC0EE0AEA556A4C,PRATAS STREET,東沙島街,东沙岛街,22.336247,114.159317
251112E838705DCD,KIU KIANG STREET,九江街,九江街,22.334718,114.161294
229C618DE131245A,MEI SANG HOUSE SHEK KIP MEI ESTATE,石硤尾邨美笙樓,石硖尾邨美笙楼,22.333562,114.165756
414700CC27B0F9DC,MEI SHING HOUSE SHEK KIP MEI ESTATE,石硤尾邨美盛樓,石硖尾邨美盛楼,22.333340,114.166865
43BFFB46B4D209FC,SHUI TIN HOUSE PAK TIN ESTATE,白田邨瑞田樓,白田邨瑞田楼,22.335588,114.168822
094457650286AA67,SHEK KIP MEI FIRE STATION,石硤尾消防局,石硖尾消防局,22.338766,114.166833
9E16397100F502B9,CHAK YAN CENTRE,則仁中心,则仁中心,22.339973,114.166933
121D3CCF6A82532F,SHEK KIP MEI PARK,石硤尾公園,石硖尾公园,22.339434,114.170165
